0.0:  🎵
18.72:  🎵 We're no strangers to love 🎵
22.72:  🎵 You know the rules and so do I 🎵
26.96:  🎵 I've filled commitments while I'm thinking of 🎵
30.96:  🎵 You wouldn't get this from any other guy 🎵
34.96:  🎵 I just wanna tell you how I'm feeling 🎵
39.96:  🎵 Gotta make you understand 🎵
42.96:  🎵 Never gonna give you up 🎵
44.96:  🎵 Never gonna let you down 🎵
46.96:  🎵 Never gonna run around and desert you 🎵
50.96:  🎵 Never gonna make you cry 🎵
52.96:  🎵 Never gonna say goodbye 🎵
54.96:  🎵 Never gonna tell a lie and hurt you 🎵
59.96:  🎵 We've known each other for so long 🎵
63.96:  🎵 Your heart's been aching but you're too shy to say it 🎵
68.96:  🎵 Inside we both know what's been going on 🎵
72.96:  🎵 We know the game and we're gonna play it 🎵
76.96:  🎵 And if you ask me how I'm feeling 🎵
81.96:  🎵 Don't tell me you're too f***ed to see 🎵
84.96:  🎵 Never gonna give you up 🎵
86.96:  🎵 Never gonna let you down 🎵
88.96:  🎵 Never gonna run around and desert you 🎵
92.96:  🎵 Never gonna make you cry 🎵
94.96:  🎵 Never gonna say goodbye 🎵
96.96:  🎵 Never gonna tell a lie and hurt you 🎵
101.96:  🎵 Never gonna give you up 🎵
103.96:  🎵 Never gonna let you down 🎵
105.96:  🎵 Never gonna run around and desert you 🎵
109.96:  🎵 Never gonna make you cry 🎵
111.96:  🎵 Never gonna say goodbye 🎵
113.96:  🎵 Never gonna tell a lie and hurt you 🎵
121.96: 
124.96:  🎵 Give you up 🎵
126.96:  🎵 Never gonna give 🎵
130.96:  🎵 Give you up 🎵
131.96:  🎵 Never gonna give 🎵
132.96:  🎵 Never gonna give 🎵
133.96:  🎵 Give you up 🎵
136.96:  🎵 We've known each other for so long 🎵
140.96:  🎵 Your heart's been aching but you're too shy to say it 🎵
144.96:  🎵 Inside we both know what's been going on 🎵
148.96:  🎵 We know the game and we're gonna play it 🎵
152.96:  🎵 I just wanna tell you how I'm feeling 🎵
157.96:  🎵 Gotta make you understand 🎵
160.96:  🎵 Never gonna give you up 🎵
162.96:  🎵 Never gonna let you down 🎵
164.96:  🎵 Never gonna run around and desert you 🎵
168.96:  🎵 Never gonna make you cry 🎵
170.96:  🎵 Never gonna say goodbye 🎵
172.96:  🎵 Never gonna tell a lie and hurt you 🎵
177.96:  🎵 Never gonna give you up 🎵
179.96:  🎵 Never gonna let you down 🎵
181.96:  🎵 Never gonna run around and desert you 🎵
185.96:  🎵 Never gonna make you cry 🎵
187.96:  🎵 Never gonna say goodbye 🎵
189.96:  🎵 Never gonna tell a lie and hurt you 🎵
194.96:  🎵 Never gonna give you up 🎵
196.96:  🎵 Never gonna let you down 🎵
198.96:  🎵 Never gonna run around and desert you 🎵
202.96:  🎵 Never gonna make you cry 🎵
204.96:  🎵 Never gonna say goodbye 🎵
206.96:  🎵 Never gonna tell a lie and hurt you 🎵
